iter	RMSE
0	0.4981758071
1	0.4979048
2	0.4976334749
3	0.4973648482
4	0.4970988731
5	0.4968343082
6	0.4965733922
7	0.4963137738
8	0.4960567537
9	0.49580302
10	0.495551842
11	0.4953019059
12	0.4950580423
13	0.4948127051
14	0.4945707086
15	0.4943312174
16	0.4940927081
17	0.4938602115
18	0.4936272105
19	0.4933989273
20	0.493169129
21	0.492946945
22	0.4927213918
23	0.4925055809
24	0.4922839756
25	0.4920698851
26	0.491852668
27	0.4916476144
28	0.4914390597
29	0.4912310896
30	0.4910245334
31	0.4908237452
32	0.4906244298
33	0.490420038
34	0.4902244839
35	0.490028921
36	0.4898404446
37	0.4896414215
38	0.4894517568
39	0.4892588997
40	0.489068532
41	0.4888834654
42	0.4886975656
43	0.4885195773
44	0.4883369413
45	0.4881597592
46	0.4879797333
47	0.4877985114
48	0.487623498
49	0.4874602473
50	0.4872865215
51	0.4871151005
52	0.4869464916
53	0.4867784165
54	0.4866051963
55	0.4864447059
56	0.4862792988
57	0.4861157536
58	0.4859578228
59	0.4857975024
60	0.4856388048
61	0.4854733326
62	0.4853111403
63	0.4851551143
64	0.4849978145
65	0.4848413554
66	0.4846823971
67	0.4845268509
68	0.4843760501
69	0.4842285635
70	0.4840812772
71	0.4839363283
72	0.4837815235
73	0.4836436536
74	0.4834965047
75	0.4833560456
76	0.4832123528
77	0.483066687
78	0.4829262609
79	0.4827864787
80	0.4826458306
81	0.4825126433
82	0.4823766075
83	0.4822357167
84	0.4820984422
85	0.481957734
86	0.4818257289
87	0.4816929836
88	0.4815616276
89	0.481427348
90	0.4812996182
91	0.4811707623
92	0.4810400567
93	0.4809105495
94	0.4807845514
95	0.4806597901
96	0.4805315211
97	0.480403959
98	0.4802790106
99	0.4801601383
100	0.4800364862
101	0.4799134381
102	0.4797911182
103	0.4796685551
104	0.4795502915
105	0.479433378
106	0.4793164182
107	0.4792002083
108	0.4790866066
109	0.4789707834
110	0.4788570565
111	0.4787446306
112	0.4786286183
113	0.4785129854
114	0.4783982637
115	0.478285659
116	0.4781740916
117	0.4780641826
118	0.4779589839
119	0.4778465951
120	0.4777393257
121	0.4776303993
122	0.4775242352
123	0.4774154373
124	0.4773078757
125	0.4772032386
126	0.4771055613
127	0.4770003645
128	0.4768975975
129	0.4767951639
130	0.4766912679
131	0.4765889323
132	0.4764854361
133	0.4763840171
134	0.4762832707
135	0.4761847283
136	0.4760852574
137	0.4759882234
138	0.4758889964
139	0.4757930092
140	0.4756973413
141	0.4755966098
142	0.4755037013
143	0.4754103645
144	0.47531758
145	0.4752248132
146	0.4751357749
147	0.4750436863
148	0.4749519368
149	0.4748608659
150	0.4747712237
151	0.4746806538
152	0.4745910133
153	0.4744964965
154	0.4744057848
155	0.4743159315
156	0.4742264902
157	0.4741413051
158	0.4740525819
159	0.4739631446
160	0.4738763737
161	0.473791734
162	0.4737066675
163	0.4736221228
164	0.4735394426
165	0.4734566942
166	0.4733708871
167	0.4732894526
168	0.473207198
169	0.4731274554
170	0.4730445095
171	0.472963682
172	0.4728849022
173	0.4728041729
174	0.4727251155
175	0.4726470492
176	0.4725659744
177	0.4724852265
178	0.4724099378
179	0.4723326092
180	0.4722551601
181	0.4721781113
182	0.4720990029
183	0.4720209229
184	0.4719468355
185	0.4718700237
186	0.4717974219
187	0.4717256715
188	0.4716526162
189	0.4715764576
190	0.4714996394
191	0.4714267828
192	0.4713535732
193	0.4712827625
194	0.4712079294
195	0.4711321128
196	0.4710653718
197	0.4709940138
198	0.4709262812
199	0.4708579268
200	0.4707881399
201	0.4707174603
202	0.4706490215
203	0.4705765015
204	0.4705053757
205	0.4704398613
206	0.4703716524
207	0.4703068944
208	0.4702404689
209	0.4701701938
210	0.4701056424
211	0.4700438055
212	0.4699718415
213	0.4699089045
214	0.4698474025
215	0.4697781512
216	0.4697124812
217	0.4696494373
218	0.4695835687
219	0.4695189187
220	0.4694553793
221	0.4693915062
222	0.4693286359
223	0.469265432
224	0.4692038096
225	0.4691422512
226	0.4690807933
227	0.4690196707
228	0.4689590282
229	0.4689010354
230	0.468836689
231	0.468776493
232	0.4687199426
233	0.4686620107
234	0.4685989521
235	0.4685404443
236	0.468478437
237	0.468418774
238	0.4683625967
239	0.4683061411
240	0.4682497512
241	0.4681887735
242	0.4681311924
243	0.4680725718
244	0.4680151756
245	0.4679611055
246	0.4678997642
247	0.4678431622
248	0.467788891
249	0.4677335442
250	0.4676747469
251	0.4676191328
252	0.4675646362
253	0.4675112937
254	0.4674541187
255	0.4674015435
256	0.4673421784
257	0.4672878854
258	0.4672312092
259	0.467176377
260	0.4671242786
261	0.4670719204
262	0.4670155629
263	0.4669605601
264	0.4669116512
265	0.4668568723
266	0.4668057916
267	0.4667538879
268	0.4667026869
269	0.4666489007
270	0.4665950175
271	0.4665419821
272	0.4664862329
273	0.466435675
274	0.4663812582
275	0.4663323431
276	0.466283841
277	0.4662378612
278	0.4661852215
279	0.4661351947
280	0.4660822524
