iter	Passed	Remaining
0	90	72282
1	98	39175
2	106	28100
3	113	22497
4	120	19084
5	147	19461
6	155	17493
7	162	15991
8	169	14827
9	176	13835
10	203	14543
11	211	13800
12	219	13230
13	227	12716
14	234	12228
15	267	13018
16	276	12685
17	283	12272
18	290	11887
19	297	11558
20	324	11973
21	331	11658
22	337	11359
23	344	11086
24	351	10832
25	379	11240
26	387	11035
27	394	10818
28	401	10624
29	408	10436
30	434	10724
31	441	10548
32	448	10377
33	454	10195
34	462	10054
35	488	10315
36	496	10188
37	503	10043
38	510	9913
39	517	9771
40	544	10029
41	552	9914
42	559	9794
43	565	9667
44	572	9554
45	600	9792
46	607	9688
47	614	9580
48	621	9481
49	628	9379
50	656	9583
51	663	9495
52	670	9398
53	676	9301
54	683	9203
55	713	9425
56	721	9351
57	728	9263
58	734	9178
59	749	9199
60	788	9496
61	794	9403
62	800	9313
63	807	9233
64	813	9152
65	841	9311
66	849	9245
67	856	9173
68	863	9096
69	870	9023
70	896	9157
71	904	9091
72	917	9084
73	930	9081
74	944	9078
75	979	9274
76	986	9210
77	992	9139
78	999	9068
79	1005	9001
80	1033	9119
81	1039	9053
82	1047	8994
83	1054	8934
84	1060	8872
85	1087	8981
86	1094	8923
87	1101	8860
88	1107	8796
89	1113	8735
90	1141	8840
91	1147	8783
92	1154	8730
93	1160	8669
94	1167	8616
95	1195	8714
96	1202	8668
97	1209	8617
98	1217	8573
99	1224	8520
100	1252	8617
101	1259	8569
102	1266	8524
103	1273	8473
104	1280	8426
105	1310	8532
106	1317	8486
107	1325	8440
108	1331	8394
109	1338	8347
110	1366	8431
111	1372	8382
112	1379	8335
113	1385	8289
114	1391	8241
115	1422	8336
116	1428	8291
117	1435	8245
118	1441	8198
119	1447	8156
120	1475	8228
121	1482	8187
122	1488	8143
123	1495	8102
124	1501	8057
125	1530	8137
126	1537	8099
127	1544	8059
128	1550	8017
129	1556	7975
130	1584	8044
131	1591	8006
132	1598	7969
133	1612	7964
134	1620	7933
135	1666	8086
136	1674	8055
137	1682	8020
138	1688	7981
139	1695	7945
140	1723	8005
141	1731	7973
142	1737	7932
143	1744	7897
144	1750	7858
145	1778	7919
146	1785	7882
147	1792	7847
